name,loc
"光谷国际网球中心	
","114.46808344237517,30.478970984802025"
"湖北省奥林匹克体育中心体育馆	
","114.47639797851443,30.479801946855826"
"驿山高尔夫球场	
","114.5169139824393,30.502559886294076"
"洪山体育馆	
","114.34107222843812,30.55202014198904"
"华中科技大学光谷体育馆	
","114.42404990942926,30.51355486546115"
"武汉理工大学体育馆	
","114.3634279758851,30.60997877218538"
"武汉体育学院体育馆	
","114.38468996900077,30.524791920487505"
"武汉软件工程职业学院体育馆	
","114.43614020149144,30.45154690265298"
"武汉大学大学生体育活动中心	
","114.36410502874799,30.542790918198037"
"陆军工程大学军械士官学校体育馆	
","114.47150551385948,30.509687360872665"
"东湖新技术开发区军事五项场地	
","114.42295235796055,30.49915626644783"
"青山江滩沙滩排球中心	
","114.40468202761699,30.65460787265511"
"东湖帆船及公开水域场地	
","115.9054660260597,28.691259179775223"
"东湖绿道马拉松及公路自行车场地	
","114.38342344806226,30.58352704398224"
"武汉城市职业学院体育馆
","114.32159879842335,30.444275818793837"
"江夏八分山定向越野场地	
","114.29897198908536,30.363753454794224"
"江夏区梁子湖铁人三项场地
","114.32855126446022,30.38156421818202"
"武汉城市职业学院体育馆	
","114.32159879842335,30.444275818793837"
"汉口文体中心	
","114.27662426530317,30.606708886863313"
"东西湖体育中心体育场	
","114.14345873785965,30.625919818109203"
"空军预警学院体育场馆	
","114.30593496350006,30.62805744306056"
"武汉体育馆	
","114.26649479181326,30.583002315848162"
"阳逻机场飞行项目场地	
","114.57295558015424,30.663021871926414"
"武汉全民健身中心足球场	
","114.28158255239606,30.592892408190057"
"海军工程大学木兰湖校区体育场馆	
","114.24824984848172,30.583761228088562"
"武汉体育中心体育馆
","114.18118253876786,30.50771560129672"
"蔡甸国防园射击射箭场馆	
","114.03547963081321,30.588113621855484"
"武汉商学院马术场	
","114.0937849584133,30.46605593534405"
"天外天高尔夫球场	
",
"武汉商学院游泳馆	
","114.25207501300429,30.556471942929193"
"武汉商学院体育馆	
","114.09273070706679,30.46501820513101"
"武汉汉南通用航空机场跳伞场地	
","114.09151485055902,30.314809120144606"
"江汉大学体育馆	
","114.16314959463837,30.524049582175184"
"武汉体育中心游泳馆	
","114.17976759530144,30.50555012719748"
汉阳江滩沙滩排球中心,"114.28731332832918,30.55371833694141"
